created_datetime,post_count
2024-07-23,2
2024-07-24,3
2024-07-25,4
2024-07-26,4
2024-07-27,2
2024-07-28,2
2024-07-29,1
2024-07-30,3
2024-07-31,4
2024-08-01,7
2024-08-02,8
2024-08-03,1
2024-08-04,4
2024-08-05,3
2024-08-06,5
2024-08-08,6
2024-08-09,2
2024-08-10,3
2024-08-12,1
2024-08-13,1
2024-08-14,1
2024-08-15,6
2024-08-16,1
2024-08-20,1
2024-08-21,1
2024-08-22,1
2024-08-23,2
2024-08-24,1
2024-08-26,1
2024-08-27,1
2024-08-28,1
2024-08-29,1
2024-08-30,2
2024-08-31,1
2024-09-01,2
2024-09-02,2
2024-09-03,5
2024-09-04,1
2024-09-05,3
2024-09-06,2
2024-09-07,1
2024-09-10,1
2024-09-11,7
2024-09-12,4
2024-09-13,4
2024-09-14,2
2024-09-15,1
2024-09-16,5
2024-09-17,6
2024-09-18,5
2024-09-19,3
2024-09-20,2
2024-09-21,3
2024-09-22,2
2024-09-23,3
2024-09-24,3
2024-09-25,2
2024-09-26,4
2024-09-27,1
2024-09-28,3
2024-09-29,2
2024-09-30,1
2024-10-01,3
2024-10-02,2
2024-10-04,2
2024-10-05,2
2024-10-06,6
2024-10-08,2
2024-10-09,2
2024-10-10,2
2024-10-11,2
2024-10-12,3
2024-10-13,3
2024-10-14,1
2024-10-15,2
2024-10-16,1
2024-10-17,4
2024-10-18,1
2024-10-19,2
2024-10-20,1
2024-10-21,2
2024-10-22,2
2024-10-23,4
2024-10-24,1
2024-10-25,1
2024-10-26,2
2024-10-27,1
2024-10-28,1
2024-10-29,6
2024-10-30,1
2024-10-31,5
2024-11-01,3
2024-11-02,2
2024-11-03,1
2024-11-04,4
2024-11-05,3
2024-11-06,20
2024-11-07,25
2024-11-08,29
2024-11-09,16
2024-11-10,11
2024-11-11,12
2024-11-12,15
2024-11-13,21
2024-11-14,23
2024-11-15,20
2024-11-16,19
2024-11-17,25
2024-11-18,27
2024-11-19,29
2024-11-20,24
2024-11-21,27
2024-11-22,18
2024-11-23,9
2024-11-24,24
2024-11-25,18
2024-11-26,23
2024-11-27,20
2024-11-28,21
2024-11-29,21
2024-11-30,15
2024-12-01,17
2024-12-02,19
2024-12-03,21
2024-12-04,18
2024-12-05,30
2024-12-06,21
2024-12-07,18
2024-12-08,26
2024-12-09,28
2024-12-10,12
2024-12-11,27
2024-12-12,19
2024-12-13,22
2024-12-14,15
2024-12-15,21
2024-12-16,18
2024-12-17,16
2024-12-18,22
2024-12-19,17
2024-12-20,25
2024-12-21,19
2024-12-22,20
2024-12-23,22
2024-12-24,16
2024-12-25,22
2024-12-26,16
2024-12-27,20
2024-12-28,17
2024-12-29,25
2024-12-30,42
2024-12-31,31
2025-01-01,27
2025-01-02,40
2025-01-03,27
2025-01-04,32
2025-01-05,30
2025-01-06,38
2025-01-07,46
2025-01-08,49
2025-01-09,41
2025-01-10,47
2025-01-11,49
2025-01-12,42
2025-01-13,37
2025-01-14,37
2025-01-15,38
2025-01-16,36
2025-01-17,46
2025-01-18,41
2025-01-19,40
2025-01-20,55
2025-01-21,65
2025-01-22,70
2025-01-23,89
2025-01-24,105
2025-01-25,113
2025-01-26,105
2025-01-27,98
2025-01-28,123
2025-01-29,142
2025-01-30,145
2025-01-31,131
2025-02-01,138
2025-02-02,144
2025-02-03,255
2025-02-04,210
2025-02-05,224
2025-02-06,192
2025-02-07,172
2025-02-08,163
2025-02-09,157
2025-02-10,177
2025-02-11,260
2025-02-12,412
2025-02-13,391
2025-02-14,628
2025-02-15,488
2025-02-16,458
2025-02-17,504
2025-02-18,189
