narrative_id,spread_sequence
0_salon.com,"['democrats', 'politics']"
100_newrepublic.com,"['politics', 'democrats']"
101_dailywire.com,"['Conservative', 'Republican']"
102_politico.com,"['neoliberal', 'politics']"
103_vox.com,"['politics', 'politics']"
104_i.redd.it,"['democrats', 'Conservative', 'Conservative']"
105_cbsnews.com,"['politics', 'neoliberal']"
106_cbsnews.com,"['neoliberal', 'democrats']"
107_bloomberg.com,"['neoliberal', 'politics']"
108_wired.com,"['politics', 'politics']"
109_2news.com,['Conservative']
109_thehill.com,['neoliberal']
10_thedailybeast.com,"['politics', 'democrats']"
110_bbc.co.uk,['politics']
110_bbc.com,['politics']
111_theguardian.com,"['democrats', 'neoliberal']"
112_apnews.com,['neoliberal']
112_thehill.com,['politics']
112_washingtonpost.com,['politics']
113_thenation.com,"['politics', 'politics']"
114_politico.eu,"['neoliberal', 'politics']"
115_bbc.com,"['politics', 'politics']"
116_reuters.com,"['neoliberal', 'politics']"
117_leftvoice.org,"['socialism', 'socialism']"
118_nytimes.com,"['politics', 'politics', 'politics']"
119_wsj.com,"['neoliberal', 'politics']"
11_redstate.com,"['Conservative', 'Republican']"
120_cnn.com,['politics']
120_edition.cnn.com,['politics']
121_apnews.com,['politics']
121_independent.co.uk,['politics']
122_nytimes.com,"['politics', 'neoliberal']"
123_nytimes.com,"['politics', 'politics']"
124_nypost.com,"['politics', 'Republican']"
125_msn.com,['democrats']
125_theatlantic.com,"['politics', 'politics']"
126_i.redd.it,"['Conservative', 'Conservative']"
127_cnn.com,['politics']
127_edition.cnn.com,['neoliberal']
128_blackrosefed.org,"['Anarchism', 'Anarchism']"
129_theguardian.com,"['politics', 'neoliberal']"
12_i.redd.it,"['worldpolitics', 'worldpolitics', 'worldpolitics', 'worldpolitics']"
130_time.com,"['Liberal', 'politics']"
13_reuters.com,"['neoliberal', 'politics']"
14_notthebee.com,"['Republican', 'Conservative', 'Conservative']"
15_nbcnews.com,"['democrats', 'neoliberal', 'politics']"
16_dailyboulder.com,"['Conservative', 'Republican']"
17_cnbc.com,"['neoliberal', 'politics']"
18_cnn.com,"['politics', 'neoliberal']"
19_babylonbee.com,"['Conservative', 'Republican', 'Conservative']"
1_thenerdreich.com,"['democrats', 'socialism']"
20_babylonbee.com,"['Republican', 'Conservative']"
21_apnews.com,"['Liberal', 'politics']"
22_nytimes.com,"['politics', 'politics']"
23_dailywire.com,"['Conservative', 'Republican']"
24_huffpost.com,"['politics', 'politics']"
25_newrepublic.com,"['politics', 'politics']"
26_projects.propublica.org,"['democrats', 'politics']"
27_foxnews.com,"['Republican', 'Conservative']"
28_cnn.com,"['Liberal', 'politics']"
29_cnn.com,['politics']
29_edition.cnn.com,['politics']
2_techdirt.com,"['neoliberal', 'democrats']"
30_cbsnews.com,"['politics', 'politics', 'democrats']"
31_apnews.com,['politics']
31_washingtontimes.com,['politics']
32_politico.eu,"['socialism', 'neoliberal']"
33_nypost.com,"['Conservative', 'Conservative']"
