narrative_id,topic_cluster,topic_label
0_salon.com,2,LABEL_ME_2
100_newrepublic.com,3,LABEL_ME_3
101_dailywire.com,2,LABEL_ME_2
102_politico.com,2,LABEL_ME_2
103_vox.com,2,LABEL_ME_2
104_i.redd.it,3,LABEL_ME_3
105_cbsnews.com,2,LABEL_ME_2
106_cbsnews.com,1,LABEL_ME_1
107_bloomberg.com,0,LABEL_ME_0
108_wired.com,3,LABEL_ME_3
109_2news.com,1,LABEL_ME_1
109_thehill.com,1,LABEL_ME_1
10_thedailybeast.com,1,LABEL_ME_1
110_bbc.co.uk,0,LABEL_ME_0
110_bbc.com,0,LABEL_ME_0
111_theguardian.com,3,LABEL_ME_3
112_apnews.com,4,LABEL_ME_4
112_thehill.com,4,LABEL_ME_4
112_washingtonpost.com,4,LABEL_ME_4
113_thenation.com,3,LABEL_ME_3
114_politico.eu,4,LABEL_ME_4
115_bbc.com,4,LABEL_ME_4
116_reuters.com,4,LABEL_ME_4
117_leftvoice.org,2,LABEL_ME_2
118_nytimes.com,1,LABEL_ME_1
119_wsj.com,4,LABEL_ME_4
11_redstate.com,2,LABEL_ME_2
120_cnn.com,1,LABEL_ME_1
120_edition.cnn.com,1,LABEL_ME_1
121_apnews.com,1,LABEL_ME_1
121_independent.co.uk,1,LABEL_ME_1
122_nytimes.com,2,LABEL_ME_2
123_nytimes.com,2,LABEL_ME_2
124_nypost.com,2,LABEL_ME_2
125_msn.com,2,LABEL_ME_2
125_theatlantic.com,2,LABEL_ME_2
126_i.redd.it,3,LABEL_ME_3
127_cnn.com,4,LABEL_ME_4
127_edition.cnn.com,4,LABEL_ME_4
128_blackrosefed.org,1,LABEL_ME_1
129_theguardian.com,1,LABEL_ME_1
12_i.redd.it,3,LABEL_ME_3
130_time.com,0,LABEL_ME_0
13_reuters.com,1,LABEL_ME_1
14_notthebee.com,1,LABEL_ME_1
15_nbcnews.com,2,LABEL_ME_2
16_dailyboulder.com,3,LABEL_ME_3
17_cnbc.com,2,LABEL_ME_2
18_cnn.com,2,LABEL_ME_2
19_babylonbee.com,2,LABEL_ME_2
1_thenerdreich.com,3,LABEL_ME_3
20_babylonbee.com,3,LABEL_ME_3
21_apnews.com,2,LABEL_ME_2
22_nytimes.com,2,LABEL_ME_2
23_dailywire.com,3,LABEL_ME_3
24_huffpost.com,3,LABEL_ME_3
25_newrepublic.com,3,LABEL_ME_3
26_projects.propublica.org,3,LABEL_ME_3
27_foxnews.com,3,LABEL_ME_3
28_cnn.com,3,LABEL_ME_3
29_cnn.com,3,LABEL_ME_3
29_edition.cnn.com,3,LABEL_ME_3
2_techdirt.com,1,LABEL_ME_1
30_cbsnews.com,0,LABEL_ME_0
31_apnews.com,1,LABEL_ME_1
31_washingtontimes.com,1,LABEL_ME_1
32_politico.eu,1,LABEL_ME_1
33_nypost.com,2,LABEL_ME_2
34_axios.com,2,LABEL_ME_2
35_i.redd.it,2,LABEL_ME_2
36_military.com,2,LABEL_ME_2
36_yahoo.com,2,LABEL_ME_2
37_nytimes.com,2,LABEL_ME_2
38_thehill.com,3,LABEL_ME_3
39_justthenews.com,2,LABEL_ME_2
3_propublica.org,2,LABEL_ME_2
40_theatlantic.com,2,LABEL_ME_2
41_wsj.com,2,LABEL_ME_2
42_pbs.org,2,LABEL_ME_2
43_bbc.co.uk,0,LABEL_ME_0
